goos: darwin
goarch: arm64
pkg: github.com/aegis/internal/dataplane/router
cpu: Apple M4
BenchmarkLookupDeep/routes=64-10               	25669142	       137.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=64-10               	25287808	       142.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=64-10               	27954026	       133.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=64-10               	27428361	       125.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	23397583	       151.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	23225811	       145.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	25080320	       148.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	23808447	       150.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	22165508	       150.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	23663620	       146.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	23546686	       149.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	23618307	       142.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	23746348	       143.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=256-10              	23787157	       155.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	21686234	       164.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	22536891	       160.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	22709589	       164.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	21857094	       162.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	22084884	       161.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	22228006	       161.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	23322141	       163.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	21623866	       161.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	21326818	       164.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=512-10              	21893725	       164.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	21641475	       165.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	18417018	       164.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	22331218	       168.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	22202828	       167.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	21440024	       170.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	21227217	       170.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	22246184	       170.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	21035398	       169.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	20896195	       168.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=1024-10             	22449867	       168.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	20844174	       173.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	22644374	       171.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	21610480	       169.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	21504284	       171.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	20494456	       171.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	21929667	       166.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	20244801	       164.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	20643345	       168.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	20890920	       168.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=2048-10             	21520497	       171.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	19056861	       179.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	20481349	       177.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	20643463	       179.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	20134809	       179.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	20011635	       180.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	19732383	       179.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	20832504	       181.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	19325305	       178.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	20366511	       173.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupDeep/routes=4096-10             	20526138	       174.8 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/aegis/internal/dataplane/router	549.782s
